,__run_id,__done,generation,model_size,task,run,rep,duration_ms,cpu_joules,gpu_joules,energy_consumption_total_joules,response_length_sum_characters,response_token_count,accuracy
341,run_1_repetition_3,DONE,2.0,7B,CB,1,3,210882.0,11240.606933593692,75856.1699335937,87096.7768671874,61276.0,13678.0,1.0
342,run_7_repetition_26,DONE,3.0,8B,CB,7,26,221874.0,11668.807739257812,78724.54553925795,90393.35327851576,65239.0,13110.0,0.8657142857142857
343,run_1_repetition_24,DONE,2.0,7B,CB,1,24,211878.0,11203.06103515625,76178.68203515634,87381.74307031259,61276.0,13678.0,1.0
344,run_10_repetition_18,DONE,3.0,8B,WiC,10,18,250702.0,13501.124328613289,89194.43892861313,102695.56325722643,63663.0,14810.0,0.9555555555555555
345,run_12_repetition_26,DONE,3.1,8B,BoolQ,12,26,137842.0,7259.558776855469,49020.13657685543,56279.6953537109,37425.0,8089.0,0.9099999999999999
346,run_18_repetition_16,DONE,3.2,1B,BoolQ,18,16,51819.0,2978.5317993164062,16658.758799316398,19637.290598632804,71714.0,15104.0,0.8607142857142858
347,run_2_repetition_29,DONE,2.0,7B,COPA,2,29,191874.0,10262.000610351562,68989.91381035163,79251.9144207032,53692.0,12554.0,1.0
348,run_21_repetition_3,DONE,3.2,1B,RTE,21,3,36816.0,2069.9966430664062,11668.177043066406,13738.173686132812,51479.0,10444.0,0.9666666666666668
349,run_15_repetition_28,DONE,3.1,8B,RTE,15,28,156851.0,8149.925964355469,54713.22416435544,62863.150128710906,46036.0,9180.0,1.0
350,run_25_repetition_24,DONE,3.2,3B,CB,25,24,108836.0,5876.767883300767,37142.59988330076,43019.36776660153,67961.0,13729.0,0.9111111111111111
351,run_18_repetition_24,DONE,3.2,1B,BoolQ,18,24,51824.0,2937.6873779296875,16670.004577929674,19607.69195585936,71714.0,15104.0,0.9133333333333333
352,run_8_repetition_26,DONE,3.0,8B,COPA,8,26,198895.0,10453.467834472656,69942.01343447267,80395.48126894532,55441.0,11806.0,0.9666666666666668
353,run_25_repetition_11,DONE,3.2,3B,CB,25,11,108837.0,5880.954772949219,36979.84537294925,42860.800145898465,67961.0,13729.0,1.0
354,run_7_repetition_16,DONE,3.0,8B,CB,7,16,222920.0,11644.851440429702,79441.4966404297,91086.3480808594,65239.0,13110.0,1.0
355,run_0_repetition_25,DONE,2.0,7B,BoolQ,0,25,211707.0,11181.059631347656,75945.4048313477,87126.46446269535,57714.0,13756.0,0.9571428571428571
356,run_20_repetition_29,DONE,3.2,1B,COPA,20,29,44826.0,2547.9002075195312,14099.087407519526,16646.987615039056,63385.0,13054.0,1.0
357,run_17_repetition_5,DONE,3.1,8B,WSC,17,5,122654.0,6304.412841796875,43438.9624417969,49743.37528359378,29189.0,7126.0,0.8914285714285715
358,run_7_repetition_28,DONE,3.0,8B,CB,7,28,221878.0,11625.189147949219,78306.52714794922,89931.71629589844,65239.0,13110.0,0.9550000000000001
359,run_7_repetition_29,DONE,3.0,8B,CB,7,29,222675.0,11653.760986328125,78466.44458632829,90120.20557265641,65239.0,13110.0,0.9714285714285715
360,run_27_repetition_17,DONE,3.2,3B,RTE,27,17,91835.0,4932.064880371094,30863.12008037109,35795.18496074218,58703.0,11647.0,0.9428571428571428
361,run_21_repetition_10,DONE,3.2,1B,RTE,21,10,35819.0,2039.318603515625,11268.76980351562,13308.088407031246,51479.0,10444.0,1.0
362,run_22_repetition_22,DONE,3.2,1B,WiC,22,22,42817.0,2480.319091796875,13532.851691796868,16013.170783593743,55242.0,12413.0,0.9666666666666668
363,run_7_repetition_0,DONE,3.0,8B,CB,7,0,222685.0,11449.843811035156,78145.97581103523,89595.81962207038,65239.0,13110.0,0.9800000000000001
364,run_24_repetition_17,DONE,3.2,3B,BoolQ,24,17,86830.0,4626.703857421933,29360.227057421944,33986.93091484388,51178.0,10942.0,0.9777777777777779
365,run_12_repetition_13,DONE,3.1,8B,BoolQ,12,13,137861.0,7141.143432617217,48548.83623261725,55689.97966523447,37425.0,8089.0,1.0
366,run_15_repetition_25,DONE,3.1,8B,RTE,15,25,157849.0,8271.924194335908,55131.30359433599,63403.227788671895,46036.0,9180.0,1.0
367,run_18_repetition_13,DONE,3.2,1B,BoolQ,18,13,51821.0,3057.3425903320604,16496.256390332062,19553.598980664123,71714.0,15104.0,1.0
368,run_5_repetition_20,DONE,2.0,7B,WSC,5,20,178876.0,9243.0234375,63748.791237499994,72991.814675,45028.0,11578.0,0.8400000000000001
369,run_9_repetition_17,DONE,3.0,8B,RTE,9,17,198887.0,10461.62133789068,70618.38033789066,81080.00167578134,58692.0,11756.0,1.0
370,run_6_repetition_5,DONE,3.0,8B,BoolQ,6,5,120650.0,6278.077758789064,42924.48075878909,49202.55851757815,33226.0,7085.0,1.0
371,run_2_repetition_19,DONE,2.0,7B,COPA,2,19,192883.0,10210.400024414059,69323.02202441404,79533.4220488281,53692.0,12554.0,1.0
372,run_13_repetition_27,DONE,3.1,8B,CB,13,27,159852.0,8412.009643554688,56677.63704355471,65089.646687109394,46101.0,9343.0,0.9377777777777778
373,run_25_repetition_23,DONE,3.2,3B,CB,25,23,108832.0,5860.370422363281,36882.92262236331,42743.29304472659,67961.0,13729.0,0.9464285714285715
374,run_18_repetition_29,DONE,3.2,1B,BoolQ,18,29,51830.0,2965.7255249023438,16359.64352490234,19325.369049804685,71714.0,15104.0,0.8734848484848484
375,run_28_repetition_24,DONE,3.2,3B,WiC,28,24,100836.0,5355.89599609375,33659.66399609372,39015.55999218747,55758.0,12758.0,1.0
376,run_18_repetition_23,DONE,3.2,1B,BoolQ,18,23,51622.0,2873.533325195305,16227.74712519531,19101.280450390615,71714.0,15104.0,0.8533333333333333
377,run_26_repetition_25,DONE,3.2,3B,COPA,26,25,94831.0,5057.215087890625,31859.946887890626,36917.16197578125,56710.0,11903.0,1.0
378,run_8_repetition_16,DONE,3.0,8B,COPA,8,16,198862.0,10193.19677734375,69412.17717734368,79605.37395468743,55441.0,11806.0,0.9464285714285715
379,run_21_repetition_7,DONE,3.2,1B,RTE,21,7,35814.0,2063.7122192382812,11279.29721923828,13343.009438476562,51479.0,10444.0,1.0
380,run_3_repetition_15,DONE,2.0,7B,RTE,3,15,188685.0,9975.217834472656,67739.67463447266,77714.89246894531,54273.0,12250.0,0.9377777777777778
381,run_15_repetition_22,DONE,3.1,8B,RTE,15,22,156861.0,8256.580383300752,55437.852783300754,63694.433166601506,46036.0,9180.0,1.0
382,run_18_repetition_3,DONE,3.2,1B,BoolQ,18,3,51821.0,2956.972290039077,16662.18949003906,19619.16178007814,71714.0,15104.0,0.8220588235294117
383,run_12_repetition_19,DONE,3.1,8B,BoolQ,12,19,138852.0,7258.776855468765,49540.700055468806,56799.47691093757,37425.0,8089.0,1.0
384,run_25_repetition_29,DONE,3.2,3B,CB,25,29,108847.0,5906.2044677734375,36910.17426777347,42816.37873554691,67961.0,13729.0,0.9714285714285715
385,run_7_repetition_25,DONE,3.0,8B,CB,7,25,222880.0,11661.900268554702,78684.51946855473,90346.41973710943,65239.0,13110.0,0.8445887445887447
386,run_3_repetition_4,DONE,2.0,7B,RTE,3,4,188866.0,10100.1328125,67994.6044125,78094.737225,54273.0,12250.0,1.0
387,run_13_repetition_0,DONE,3.1,8B,CB,13,0,159656.0,8388.324096679688,56948.94409667971,65337.2681933594,46101.0,9343.0,0.8933333333333333
388,run_16_repetition_5,DONE,3.1,8B,WiC,16,5,245669.0,12912.719299316406,87891.95909931636,100804.67839863276,63916.0,14562.0,1.0
389,run_11_repetition_28,DONE,3.0,8B,WSC,11,28,126865.0,6710.365173339902,44690.08297333983,51400.44814667973,30766.0,7419.0,0.8666666666666666
390,run_23_repetition_24,DONE,3.2,1B,WSC,23,24,27811.0,1603.2720947265625,8822.271294726559,10425.543389453122,32024.0,7910.0,0.6333333333333333
391,run_24_repetition_21,DONE,3.2,3B,BoolQ,24,21,86823.0,4674.006835937471,29626.66463593745,34300.67147187492,51178.0,10942.0,1.0
392,run_11_repetition_12,DONE,3.0,8B,WSC,11,12,125857.0,6563.8690185546875,44128.91741855472,50692.78643710941,30766.0,7419.0,0.85
393,run_8_repetition_3,DONE,3.0,8B,COPA,8,3,199866.0,10704.109313964815,70581.55011396472,81285.65942792954,55441.0,11806.0,0.8558333333333333
394,run_0_repetition_3,DONE,2.0,7B,BoolQ,0,3,211877.0,11387.61590576169,76291.41690576161,87679.0328115233,57714.0,13756.0,1.0
395,run_8_repetition_6,DONE,3.0,8B,COPA,8,6,199675.0,10605.237609863281,71417.49660986324,82022.73421972652,55441.0,11806.0,0.9464285714285715
396,run_11_repetition_6,DONE,3.0,8B,WSC,11,6,125845.0,6660.51025390625,44601.4686539063,51261.97890781255,30766.0,7419.0,0.9
