Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760504594324,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,0,0,0,0,0,0,0,100,0,0,0,0,0,3.0303030014038086,3.0303030014038086,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,24564,357,4122,39,0,114003.26263427734,209521.2840576172,0,134868701184,8589930496,2644484096,7340032
201,1760504594324,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,0,0,0,0,0,0,0,100,0,0,0,0,0,3.0303030014038086,3.0303030014038086,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,24564,357,4122,39,0,114003.75427246094,209521.66424560547,0,134868701184,8589930496,2646290432,7340032
200,1760504594526,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,68.18181610107422,4.545454502105713,4.545454502105713,100,4.545454502105713,4.545454502105713,4.545454502105713,4.34782600402832,8.69565200805664,4.545454502105713,9.523809432983398,4.545454502105713,8.333333969116211,4.34782600402832,4.545454502105713,8.333333969116211,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.761904716491699,13.043478012084961,4.545454502105713,17.39130401611328,4.34782600402832,4.545454502105713,4.545454502105713,0,24564,357,4122,39,0,114015.96179199219,209531.50982666016,0,134868701184,8589930496,2848776192,7340032
200,1760504594726,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,40,35,36.842105865478516,38.095237731933594,100,36.842105865478516,38.095237731933594,100,35,38.095237731933594,35,36.842105865478516,35,35,35,35,36.842105865478516,40,35,36.842105865478516,40,38.095237731933594,35,38.095237731933594,35,35,36.842105865478516,35,36.842105865478516,36.842105865478516,35,35,0,24564,357,3818,39,0,114035.88293457031,209549.09436035156,0,134868701184,8589930496,2898317312,7340032
200,1760504594926,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3818,39,0,114047.13073730469,209558.0298461914,0,134868701184,8589930496,2933411840,7340032
200,1760504595126,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,9.523809432983398,15.000000953674316,0,0,75,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3818,38,0,114058.41320800781,209566.97399902344,0,134868701184,8589930496,2969620480,7340032
200,1760504595326,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3818,38,0,114069.31060791016,209575.53533935547,0,134868701184,8589930496,3000037376,7340032
199,1760504595526,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3818,38,0,114080.17248535156,209584.1142578125,0,134868701184,8589930496,3009843200,7340032
200,1760504595726,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3897,38,0,114090.91833496094,209592.56842041016,0,134868701184,8589930496,3034095616,7340032
200,1760504595926,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,42.105262756347656,45,42.85714340209961,42.105262756347656,85,45,42.105262756347656,100,42.85714340209961,40,45,42.85714340209961,57.894737243652344,42.105262756347656,42.85714340209961,42.85714340209961,42.85714340209961,40,42.105262756347656,40,40,40,42.105262756347656,42.105262756347656,45,45,42.85714340209961,40,42.85714340209961,42.85714340209961,45,42.85714340209961,0,24564,357,3897,38,0,114110.95458984375,209610.2236328125,0,134868701184,8589930496,3066429440,7340032
199,1760504596126,800,800,4350,800,800,800,800,5811,3992,4398,3368,800,2705,4399,1175,800,4400,800,2188,800,2482,800,2457,800,800,800,5700,800,4871,800,3461,800,5,0,0,0,66.66667175292969,33.333335876464844,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3897,38,0,114122.32904052734,209619.26928710938,0,134868701184,8589930496,3077951488,7340032
