Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760526509358,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,0,0,0,0,26.666667938232422,0,65.51724243164063,0,0,3.4482758045196533,3.4482758045196533,0,0,0,3.4482758045196533,0,0,0,0,0,0,0,0,0,0,0,6.896551609039307,0,3.4482758045196533,0,0,0,0,24564,357,3616,38,0,187174.48529052734,14101.730651855469,0,134868701184,8589930496,2653282304,7340032
200,1760526509359,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,0,0,0,0,26.666667938232422,0,65.51724243164063,0,0,3.4482758045196533,3.4482758045196533,0,0,0,3.4482758045196533,0,0,0,0,0,0,0,0,0,0,0,6.896551609039307,0,3.4482758045196533,0,0,0,0,24564,357,3616,38,0,187174.92767333984,14102.062194824219,0,134868701184,8589930496,2654056448,7340032
199,1760526509559,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,4.545454502105713,4.545454502105713,0,4.34782600402832,36.3636360168457,4.34782600402832,100,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,0,4.34782600402832,0,4.34782600402832,0,0,0,4.545454502105713,9.523809432983398,4.545454502105713,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,0,4.545454502105713,54.54545593261719,4.34782600402832,4.34782600402832,0,0,24564,357,3616,38,0,187186.91473388672,14111.676635742188,0,134868701184,8589930496,2845945856,7340032
199,1760526509759,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,40,38.095237731933594,40,40,66.66667175292969,40,40,40,38.095237731933594,35,40,40,100,36.842105865478516,40,36.842105865478516,40,40,38.095237731933594,35,40,38.095237731933594,38.095237731933594,40,40,42.85714340209961,70,36.842105865478516,38.095237731933594,40,40,38.095237731933594,0,24564,357,3639,38,0,187205.7100830078,14128.167785644531,0,134868701184,8589930496,2904780800,7340032
199,1760526509959,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,5,0,0,0,100,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3639,38,0,187216.62561035156,14136.782348632813,0,134868701184,8589930496,2932133888,7340032
199,1760526510159,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3639,38,0,187227.43182373047,14145.261413574219,0,134868701184,8589930496,2977394688,7340032
199,1760526510359,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,24564,357,3639,38,0,187238.20977783203,14153.709350585938,0,134868701184,8589930496,3004190720,7340032
199,1760526510559,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,4.761904716491699,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3639,38,0,187248.9757080078,14162.199584960938,0,134868701184,8589930496,3014250496,7340032
200,1760526510759,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3633,38,0,187259.6043701172,14170.547241210938,0,134868701184,8589930496,3038502912,7340032
200,1760526510959,1794,800,800,800,800,800,5953,800,4399,4400,800,800,800,4400,800,4399,3385,800,800,2392,3300,800,2636,800,800,2336,800,1120,800,800,800,800,45,42.105262756347656,42.85714340209961,40,80,60.000003814697266,100,40,42.105262756347656,45,42.105262756347656,40,42.85714340209961,42.85714340209961,42.105262756347656,45,40,45,45,45,40,42.105262756347656,42.105262756347656,40,40,40,42.105262756347656,45,42.105262756347656,40,42.105262756347656,42.105262756347656,0,24564,357,3633,38,0,187279.4315185547,14187.990234375,0,134868701184,8589930496,3067232256,7340032
