generation,rho,p,p_BH
2,0.9607074320712853,5.148648763802624e-101,5.148648763802624e-101
3,0.9621093390004147,2.159889295777145e-102,2.8798523943695265e-102
3.1,0.9796545620661916,4.314899199213605e-126,8.62979839842721e-126
3.2,0.9964244355299929,0,0
