generation,n_obs,mean_duration_s,median_duration_s,sd_duration_s,mean_energy_J,median_energy_J,sd_energy_J,mean_power_W,median_power_W,sd_power_W
2,180,19745.57222222222,19727.5,1220.6008595941432,81556.68663037218,81163.37586279295,5053.6703657116905,4.130411528371317,4.135541000432582,0.023232940410779154
3,180,18646.955555555556,19888,4779.330683863919,76065.62267180014,81246.6012839844,19595.99414889897,4.077802074635062,4.079719974028747,0.03195024899738457
3.1,180,17239.36111111111,15875.5,4295.889254739,70402.65228867297,64865.22103769533,17652.98247468004,4.082471217549013,4.083551577588429,0.029134025021149083
3.2,360,6670.725,6022.5,2715.9581645272806,25930.611939616974,23243.785568164065,11010.662425261315,3.8547921491126997,3.8601343884773707,0.09326285802427402
