generation,n_runs,mean_accuracy,median_accuracy,var_accuracy,sd_accuracy,min_accuracy,max_accuracy,rho_E_acc
2,6,0.9675324983658317,0.9671317941317941,5.646917376167983e-4,0.023763243415342073,0.9326428571428571,0.9971031746031747,0.2571428571428572
3,6,0.940259041884042,0.943250444000444,0.0010722446719054033,0.03274514730315629,0.8908730158730159,0.9744338624338624,-0.028571428571428574
3.1,6,0.955978650978651,0.9699670977170978,0.001332873017699675,0.03650853349149586,0.8954285714285715,0.987010582010582,0.8285714285714285
3.2,12,0.9299231623496329,0.9508639323639324,0.0027995336252520904,0.05291061921062813,0.8205820105820105,0.9845156325156326,0.6503496503496504
