Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760503995160,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,3.4482758045196533,0,3.5714287757873535,0,0,100,0,0,0,0,0,0,3.5714287757873535,0,3.5714287757873535,0,0,0,0,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,0,0,0,0,0,0,0,24564,357,3940,39,0,83331.07775878906,186173.0360107422,0,134868701184,8589930496,2629181440,7340032
201,1760503995160,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,3.4482758045196533,0,3.5714287757873535,0,0,100,0,0,0,0,0,0,3.5714287757873535,0,3.5714287757873535,0,0,0,0,0,0,3.4482758045196533,3.4482758045196533,3.5714287757873535,3.4482758045196533,0,0,0,0,0,0,0,0,24564,357,3940,39,0,83331.533203125,186173.3770751953,0,134868701184,8589930496,2633052160,7340032
200,1760503995361,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,9.090909004211426,4.545454502105713,4.545454502105713,8.69565200805664,9.090909004211426,100,90.90909576416016,8.69565200805664,4.545454502105713,4.545454502105713,4.545454502105713,8.69565200805664,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,20.833332061767578,8.69565200805664,9.090909004211426,4.545454502105713,4.761904716491699,4.545454502105713,4.545454502105713,8.69565200805664,4.545454502105713,4.545454502105713,8.69565200805664,8.69565200805664,9.090909004211426,4.545454502105713,0,24564,357,3940,39,0,83344.13665771484,186183.61352539063,0,134868701184,8589930496,2809556992,7340032
200,1760503995561,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,31.57894515991211,35,35,35,100,35,66.66667175292969,35,35,35,35,35,35,35,35,35,33.333335876464844,35,31.57894515991211,35,35,35,35,35,35,35,70,35,35,35,31.57894515991211,35,0,24564,357,3940,39,0,83363.11254882813,186200.2479248047,0,134868701184,8589930496,2868133888,7340032
199,1760503995761,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3930,39,0,83374.79162597656,186209.6043701172,0,134868701184,8589930496,2901164032,7340032
200,1760503995961,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,9.523809432983398,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3930,39,0,83385.80987548828,186218.27673339844,0,134868701184,8589930496,2946064384,7340032
200,1760503996161,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3930,39,0,83397.40228271484,186227.52416992188,0,134868701184,8589930496,2974699520,7340032
199,1760503996361,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,4.761904716491699,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,24564,357,3930,39,0,83408.4546508789,186236.27783203125,0,134868701184,8589930496,2998153216,7340032
200,1760503996561,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,24564,357,3930,39,0,83419.32025146484,186244.80786132813,0,134868701184,8589930496,3003826176,7340032
200,1760503996761,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,42.105262756347656,42.105262756347656,40,40,100,40,100,42.105262756347656,45,45,42.85714340209961,40,45,42.85714340209961,40,45,45,42.85714340209961,42.85714340209961,40,40,42.105262756347656,40,40,42.105262756347656,40,42.105262756347656,42.85714340209961,42.105262756347656,42.105262756347656,42.85714340209961,42.105262756347656,0,24564,357,3996,39,0,83439.48303222656,186262.60614013672,0,134868701184,8589930496,3035021312,7340032
200,1760503996961,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,5,0,0,0,100,0,70,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.571430206298828,0,0,0,0,0,0,24564,357,3996,39,0,83451.44061279297,186272.20532226563,0,134868701184,8589930496,3054628864,7340032
200,1760503997161,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,28.571430206298828,73.68421173095703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3996,39,0,83462.6548461914,186281.0870361328,0,134868701184,8589930496,3071660032,7340032
200,1760503997361,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,9.523809432983398,0,0,0,100,0,68.42105102539063,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,3996,39,0,83473.63836669922,186289.74475097656,0,134868701184,8589930496,3096174592,7340032
200,1760503997561,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,4.761904716491699,0,0,100,0,38.095237731933594,0,9.523809432983398,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,24564,357,3996,39,0,83485.05889892578,186298.775390625,0,134868701184,8589930496,3204812800,7340032
199,1760503997762,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,5,14.285715103149414,0,0,100,0,84.21052551269531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4021,39,0,83495.7103881836,186306.97296142578,0,134868701184,8589930496,3368673280,7340032
199,1760503997962,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4021,39,0,83506.62902832031,186315.5474243164,0,134868701184,8589930496,3417960448,7340032
200,1760503998162,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,5,0,0,0,100,0,40,60.000003814697266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4021,39,0,83517.92755126953,186324.45916748047,0,134868701184,8589930496,3424014336,7340032
199,1760503998362,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4021,39,0,83528.6107788086,186332.7354736328,0,134868701184,8589930496,3477417984,7340032
200,1760503998562,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,4.761904716491699,0,0,0,100,0,5,60.000003814697266,4.761904716491699,10,0,0,15.000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,809,7893,40,2,83538.4224243164,186339.9877319336,0,134868701184,8589930496,3584770048,7340032
199,1760503998762,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,21.052631378173828,5,21.052631378173828,10,100,0,55,25,5,5,5,5,0,5,5,5,5,5,15.789472579956055,10,5,5,5,10,5,5,5,10,14.285715103149414,0,0,14.285715103149414,0,24564,1475,21254,40,4,83550.1929321289,186349.0366821289,0,134868701184,8589930496,3789197312,7340032
199,1760503998962,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,9.523809432983398,15.000000953674316,4.761904716491699,0,100,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73.68421173095703,0,0,0,0,0,0,24564,3753,28046,40,20,83567.35107421875,186363.08880615234,0,134868701184,8589930496,3855626240,7340032
200,1760503999162,800,1753,2328,800,800,5888,2790,800,3381,800,4399,800,3392,800,3836,800,1938,1901,800,800,1729,1814,800,800,800,1937,1261,800,5340,800,2750,800,0,100,0,0,15.000000953674316,85,0,100,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,3251,32954,41,44,83582.97589111328,186375.8442993164,0,134868701184,8589930496,3852685312,7340032
