Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760596583597,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,13.793103218078613,0,10,66.66667175292969,3.4482758045196533,0,0,0,0,0,0,3.3333334922790527,0,0,0,0,3.22580623626709,0,0,0,0,0,0,0,0,3.22580623626709,10,0,0,24564,357,3881,38,0,129256.45916748047,143440.91094970703,0,134868701184,8589930496,2662674432,7077888
202,1760596583598,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,13.793103218078613,0,10,66.66667175292969,3.4482758045196533,0,0,0,0,0,0,3.3333334922790527,0,0,0,0,3.22580623626709,0,0,0,0,0,0,0,0,3.22580623626709,10,0,0,24564,357,3881,38,0,129256.98223876953,143441.31610107422,0,134868701184,8589930496,2663448576,7077888
200,1760596583800,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,4.34782600402832,21.7391300201416,4.34782600402832,0,100,17.39130401611328,4.34782600402832,4.34782600402832,4.34782600402832,56.52173614501953,0,0,4.34782600402832,4.1666669845581055,0,0,0,0,0,4.34782600402832,0,4.34782600402832,8.69565200805664,4.34782600402832,0,8.333333969116211,0,4.545454502105713,4.34782600402832,0,24564,357,3881,38,0,129267.35467529297,143449.33728027344,0,134868701184,8589930496,2851565568,7077888
200,1760596584000,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,40,40,40,40,80,57.894737243652344,40,100,40,40,42.105262756347656,40,45,42.105262756347656,40,40,42.105262756347656,40,42.105262756347656,40,40,40,40,42.85714340209961,40,40,40,40,40,40,42.85714340209961,40,0,24564,357,3852,38,0,129287.47589111328,143467.1362915039,0,134868701184,8589930496,2893320192,7077888
200,1760596584200,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3852,38,0,129298.47644042969,143475.84802246094,0,134868701184,8589930496,2928918528,7077888
200,1760596584400,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3852,38,0,129309.34704589844,143484.4033203125,0,134868701184,8589930496,2984398848,7077888
200,1760596584600,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,3852,38,0,129320.17657470703,143492.9067993164,0,134868701184,8589930496,3014836224,7077888
200,1760596584801,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,80,23.809524536132813,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3852,38,0,129330.8325805664,143501.29553222656,0,134868701184,8589930496,3029012480,7077888
200,1760596585001,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24564,357,3869,38,0,129341.5576171875,143509.73413085938,0,134868701184,8589930496,3058171904,7077888
199,1760596585201,2444,800,800,800,5848,800,799,800,4400,4400,4400,4012,2669,4400,800,800,4398,800,800,4398,4399,4398,800,800,800,4399,3421,800,1198,800,800,800,45,45,45,40,100,42.105262756347656,42.85714340209961,100,45,42.105262756347656,42.105262756347656,40,40,45,42.105262756347656,40,42.105262756347656,45,45,42.85714340209961,40,42.85714340209961,40,42.105262756347656,40,40,42.85714340209961,42.85714340209961,45,45,42.105262756347656,40,0,24564,357,3869,38,0,129361.50360107422,143527.30389404297,0,134868701184,8589930496,3097571328,7077888
