generation,n_runs,mean_duration_s,median_duration_s,var_duration_s,sd_duration_s,min_duration_s,max_duration_s,mean_energy_J,median_energy_J,var_energy_J,sd_energy_J,min_energy_J,max_energy_J
2,6,19745.57222222222,19702.86666666667,1775762.8010740734,1332.5775028395435,17844.033333333333,21180.7,81556.68663037218,81303.94895288738,30218639.504276402,5497.148306556446,73748.55649335939,87434.66403422525
3,6,18646.955555555556,19917.283333333333,27255681.936740737,5220.697456924768,12116.8,25061.6,76065.62267180014,81262.23070801431,457806558.1081621,21396.414608718023,49513.379323431,102331.38953111981
3.1,6,17239.36111111111,15852.766666666666,22020144.888629634,4692.562720798694,12216.633333333333,24606.466666666667,70402.65228867297,64709.83295821615,371556032.91637766,19275.788775465913,49710.88927489584,100755.80440835287
3.2,12,6670.725,5992,7977926.362651515,2824.522324686338,2714.366666666667,11037.466666666667,25930.61193961697,23180.267367272136,131056930.08403172,11448.009874385667,10135.028413789061,43561.241149954425
