Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760553436947,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,5.555555820465088,0,77.77777862548828,2.702702760696411,17.142858505249023,2.777777910232544,0,2.777777910232544,0,0,0,2.777777910232544,0,0,0,2.702702760696411,0,2.777777910232544,0,0,0,0,0,0,0,2.777777910232544,2.777777910232544,0,2.702702760696411,0,0,24564,357,3706,39,0,178.84429931640625,20792.025390625,0,134868701184,8589930496,2636009472,7340032
200,1760553436947,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,5.555555820465088,0,77.77777862548828,2.702702760696411,17.142858505249023,2.777777910232544,0,2.777777910232544,0,0,0,2.777777910232544,0,0,0,2.702702760696411,0,2.777777910232544,0,0,0,0,0,0,0,2.777777910232544,2.777777910232544,0,2.702702760696411,0,0,24564,357,3706,39,0,179.39825439453125,20792.466064453125,0,134868701184,8589930496,2641416192,7340032
200,1760553437148,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,4.545454502105713,4.545454502105713,13.636363983154297,4.545454502105713,100,4.545454502105713,86.36363983154297,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,8.69565200805664,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,8.69565200805664,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,8.69565200805664,0,24564,357,3706,39,0,191.94140625,20802.623657226563,0,134868701184,8589930496,2821246976,7340032
200,1760553437348,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,38.095237731933594,36.842105865478516,35,36.842105865478516,100,36.842105865478516,100,36.842105865478516,35,35,35,38.095237731933594,40,35,35,35,38.095237731933594,38.095237731933594,35,35,35,38.095237731933594,35,35,35,40,35,38.095237731933594,35,38.095237731933594,35,35,0,24564,357,3706,39,0,211.184814453125,20819.545166015625,0,134868701184,8589930496,2878275584,7340032
200,1760553437548,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,222.54071044921875,20828.571166992188,0,134868701184,8589930496,2912337920,7340032
199,1760553437748,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,233.56890869140625,20837.26092529297,0,134868701184,8589930496,2956722176,7340032
199,1760553437948,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,244.5306396484375,20845.86376953125,0,134868701184,8589930496,2984849408,7340032
199,1760553438148,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,255.46893310546875,20854.49481201172,0,134868701184,8589930496,3014586368,7340032
200,1760553438348,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,4.761904716491699,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,266.18115234375,20862.88995361328,0,134868701184,8589930496,3020779520,7340032
200,1760553438548,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,45,42.85714340209961,42.85714340209961,42.85714340209961,100,42.85714340209961,42.85714340209961,100,45,40,45,42.105262756347656,40,45,42.85714340209961,42.85714340209961,42.105262756347656,40,42.105262756347656,42.85714340209961,42.85714340209961,42.105262756347656,45,42.105262756347656,45,40,40,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,0,24564,357,3706,39,0,286.2679443359375,20880.5927734375,0,134868701184,8589930496,3052748800,7340032
200,1760553438748,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,298.468017578125,20890.442321777344,0,134868701184,8589930496,3072458752,7340032
200,1760553438948,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,31.57894515991211,0,0,0,100,0,0,68.42105102539063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,310.48828125,20900.110107421875,0,134868701184,8589930496,3082121216,7340032
200,1760553439148,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,63.15789031982422,14.285715103149414,0,0,0,0,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3706,39,0,321.3609619140625,20908.65155029297,0,134868701184,8589930496,3114635264,7340032
200,1760553439348,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3632,39,0,332.33612060546875,20917.24481201172,0,134868701184,8589930496,3212951552,7340032
200,1760553439548,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,80,10,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3632,39,0,343.2552490234375,20925.695678710938,0,134868701184,8589930496,3367006208,7340032
199,1760553439748,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3632,39,0,354.390869140625,20934.481079101563,0,134868701184,8589930496,3425325056,7340032
200,1760553439948,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3632,39,0,365.61920166015625,20943.322875976563,0,134868701184,8589930496,3442155520,7340032
199,1760553440148,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,95.23809814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3632,39,0,376.8956298828125,20952.19219970703,0,134868701184,8589930496,3479560192,7340032
200,1760553440348,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,94.73684692382813,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,809,8553,40,0,387.05108642578125,20959.78271484375,0,134868701184,8589930496,3586654208,7340032
200,1760553440549,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,25,0,14.285715103149414,10,100,0,90,23.809524536132813,5,5,5,5,10,5,5,0,0,5,5,0,5.263157844543457,0,5,0,5,5,5,10,10,10,10,10,0,24564,5371,16779,40,6,399.6478271484375,20969.617919921875,0,134868701184,8589930496,3845787648,7340032
199,1760553440749,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,24564,7821,23172,41,13,417.87890625,20984.723510742188,0,134868701184,8589930496,3882823680,7340032
199,1760553440949,1218,800,800,800,3122,800,5896,800,3790,1198,2080,800,4299,800,1362,2772,4399,2287,800,800,2174,800,800,800,2294,1649,2519,800,2766,800,800,800,5,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,100,0,0,24564,7821,28686,41,68,436.4603271484375,21000.059020996094,0,134868701184,8589930496,3891081216,7340032
