__run_id,__done,generation,model_size,task,energy
run_22_repetition_3,DONE,3.2,1B,WiC,3030.8048706054688
run_8_repetition_12,DONE,3,8B,COPA,11388.262084960938
run_18_repetition_5,DONE,3.2,1B,BoolQ,3213.8919067382812
run_13_repetition_22,DONE,3.1,8B,CB,9200.2138671875
run_9_repetition_13,DONE,3,8B,RTE,11357.433227539062
run_26_repetition_11,DONE,3.2,3B,COPA,5568.1463623046875
run_23_repetition_9,DONE,3.2,1B,WSC,2062.6148681640625
run_14_repetition_1,DONE,3.1,8B,COPA,11865.077392578125
run_9_repetition_26,DONE,3,8B,RTE,11500.696411132812
run_19_repetition_19,DONE,3.2,1B,CB,3678.13037109375
run_27_repetition_7,DONE,3.2,3B,RTE,5438.95458984375
run_7_repetition_4,DONE,3,8B,CB,12734.971008300781
run_11_repetition_4,DONE,3,8B,WSC,7443.9564208984375
run_8_repetition_20,DONE,3,8B,COPA,11601.971557617188
run_10_repetition_24,DONE,3,8B,WiC,14047.860656738281
run_18_repetition_10,DONE,3.2,1B,BoolQ,3205.4317016601562
run_12_repetition_0,DONE,3.1,8B,BoolQ,8129.939514160156
run_8_repetition_9,DONE,3,8B,COPA,11606.300415039062
run_4_repetition_6,DONE,2,7B,WiC,11808.867248535156
run_6_repetition_25,DONE,3,8B,BoolQ,254773.81231689453
run_25_repetition_9,DONE,3.2,3B,CB,6720.6494140625
run_28_repetition_6,DONE,3.2,3B,WiC,5981.716857910156
run_1_repetition_2,DONE,2,7B,CB,12145.652587890625
run_14_repetition_25,DONE,3.1,8B,COPA,12130.450073242188
run_18_repetition_15,DONE,3.2,1B,BoolQ,3219.97119140625
run_11_repetition_23,DONE,3,8B,WSC,7456.5997314453125
run_15_repetition_3,DONE,3.1,8B,RTE,9199.390258789062
run_4_repetition_26,DONE,2,7B,WiC,11731.52001953125
run_28_repetition_26,DONE,3.2,3B,WiC,6037.652038574219
run_5_repetition_6,DONE,2,7B,WSC,10419.409240722656
run_11_repetition_7,DONE,3,8B,WSC,7507.065612792969
run_8_repetition_29,DONE,3,8B,COPA,11494.222412109375
run_11_repetition_26,DONE,3,8B,WSC,7597.013916015625
run_21_repetition_14,DONE,3.2,1B,RTE,2817.3829345703125
run_5_repetition_12,DONE,2,7B,WSC,10294.549377441406
run_22_repetition_0,DONE,3.2,1B,WiC,2937.8486328125
run_1_repetition_29,DONE,2,7B,CB,12134.828979492188
run_16_repetition_23,DONE,3.1,8B,WiC,14178.966186523438
run_18_repetition_7,DONE,3.2,1B,BoolQ,3050.767822265625
run_15_repetition_17,DONE,3.1,8B,RTE,9238.687255859375
run_24_repetition_0,DONE,3.2,3B,BoolQ,6034.503967285156
run_21_repetition_27,DONE,3.2,1B,RTE,2800.631591796875
run_26_repetition_16,DONE,3.2,3B,COPA,5471.419006347656
run_27_repetition_23,DONE,3.2,3B,RTE,5583.9373779296875
run_11_repetition_9,DONE,3,8B,WSC,7613.404296875
run_24_repetition_22,DONE,3.2,3B,BoolQ,5429.927734375
run_5_repetition_28,DONE,2,7B,WSC,10324.381530761719
run_28_repetition_29,DONE,3.2,3B,WiC,6318.585876464844
run_7_repetition_27,DONE,3,8B,CB,249237.07733154294
run_17_repetition_14,DONE,3.1,8B,WSC,7349.536376953125
run_27_repetition_10,DONE,3.2,3B,RTE,5728.850036621094
run_22_repetition_26,DONE,3.2,1B,WiC,3042.3815307617188
run_10_repetition_29,DONE,3,8B,WiC,14291.00390625
run_26_repetition_14,DONE,3.2,3B,COPA,5928.216125488281
run_23_repetition_7,DONE,3.2,1B,WSC,2147.4373779296875
run_20_repetition_8,DONE,3.2,1B,COPA,3219.9132690429688
run_12_repetition_14,DONE,3.1,8B,BoolQ,8032.5499267578125
run_4_repetition_21,DONE,2,7B,WiC,11627.896179199219
run_16_repetition_27,DONE,3.1,8B,WiC,14105.545532226562
run_13_repetition_2,DONE,3.1,8B,CB,9601.91943359375
run_25_repetition_27,DONE,3.2,3B,CB,6818.9342041015625
run_10_repetition_28,DONE,3,8B,WiC,14539.004272460938
run_28_repetition_4,DONE,3.2,3B,WiC,6238.708251953125
run_10_repetition_0,DONE,3,8B,WiC,14209.624450683594
run_13_repetition_18,DONE,3.1,8B,CB,9274.810424804688
run_18_repetition_9,DONE,3.2,1B,BoolQ,3589.0538330078125
run_1_repetition_12,DONE,2,7B,CB,12180.809143066406
run_26_repetition_28,DONE,3.2,3B,COPA,5885.6119384765625
run_21_repetition_11,DONE,3.2,1B,RTE,2666.4798583984375
run_16_repetition_0,DONE,3.1,8B,WiC,14244.747131347656
run_13_repetition_6,DONE,3.1,8B,CB,9444.9287109375
run_5_repetition_3,DONE,2,7B,WSC,10535.49267578125
run_1_repetition_15,DONE,2,7B,CB,12259.182495117188
run_27_repetition_1,DONE,3.2,3B,RTE,5815.0411376953125
run_6_repetition_12,DONE,3,8B,BoolQ,7314.132141113281
run_2_repetition_17,DONE,2,7B,COPA,251009.77642822266
run_1_repetition_22,DONE,2,7B,CB,12202.636901855469
run_25_repetition_7,DONE,3.2,3B,CB,6667.915100097656
run_27_repetition_5,DONE,3.2,3B,RTE,5852.374206542969
run_29_repetition_16,DONE,3.2,3B,WSC,4448.877746582031
run_29_repetition_21,DONE,3.2,3B,WSC,4426.649963378906
run_21_repetition_8,DONE,3.2,1B,RTE,2618.055419921875
run_10_repetition_5,DONE,3,8B,WiC,14160.21484375
run_7_repetition_12,DONE,3,8B,CB,12810.217407226562
run_26_repetition_26,DONE,3.2,3B,COPA,5805.473449707031
run_4_repetition_20,DONE,2,7B,WiC,11747.209289550781
run_27_repetition_11,DONE,3.2,3B,RTE,5782.4268798828125
run_21_repetition_21,DONE,3.2,1B,RTE,2758.3435668945312
run_18_repetition_0,DONE,3.2,1B,BoolQ,3529.0747680664062
run_28_repetition_12,DONE,3.2,3B,WiC,6126.639099121094
run_4_repetition_8,DONE,2,7B,WiC,11665.940979003906
run_16_repetition_1,DONE,3.1,8B,WiC,14059.295043945312
run_3_repetition_7,DONE,2,7B,RTE,11002.089965820312
run_24_repetition_27,DONE,3.2,3B,BoolQ,5504.431701660156
run_4_repetition_14,DONE,2,7B,WiC,11695.273559570312
run_23_repetition_23,DONE,3.2,1B,WSC,2238.8731079101562
run_24_repetition_2,DONE,3.2,3B,BoolQ,5479.047180175781
run_21_repetition_12,DONE,3.2,1B,RTE,2696.1853637695312
run_17_repetition_3,DONE,3.1,8B,WSC,7265.282897949219
run_13_repetition_29,DONE,3.1,8B,CB,9407.6318359375
run_16_repetition_28,DONE,3.1,8B,WiC,14062.939147949219
run_19_repetition_25,DONE,3.2,1B,CB,3845.3958740234375
run_9_repetition_18,DONE,3,8B,RTE,11393.949584960938
run_3_repetition_10,DONE,2,7B,RTE,11054.143737792969
run_24_repetition_1,DONE,3.2,3B,BoolQ,5486.2568359375
run_22_repetition_12,DONE,3.2,1B,WiC,259061.62438964844
run_15_repetition_19,DONE,3.1,8B,RTE,9259.679260253906
run_0_repetition_4,DONE,2,7B,BoolQ,12193.752380371094
run_14_repetition_24,DONE,3.1,8B,COPA,12383.863586425781
run_25_repetition_28,DONE,3.2,3B,CB,6788.4375
run_19_repetition_2,DONE,3.2,1B,CB,3746.3704833984375
run_5_repetition_23,DONE,2,7B,WSC,10319.841003417969
run_8_repetition_1,DONE,3,8B,COPA,11607.381469726562
run_12_repetition_10,DONE,3.1,8B,BoolQ,8234.655578613281
