Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760487605631,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,0,0,0,0,3.0303030014038086,0,100,0,0,5.882352828979492,0,0,0,0,0,0,3.0303030014038086,0,0,0,0,0,0,0,0,0,0,0,2.941176414489746,0,0,3.125,0,24564,357,3807,37,0,20954.875610351563,63772.722717285156,0,134868701184,8589930496,2659868672,8912896
201,1760487605631,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,0,0,0,0,3.0303030014038086,0,100,0,0,5.882352828979492,0,0,0,0,0,0,3.0303030014038086,0,0,0,0,0,0,0,0,0,0,0,2.941176414489746,0,0,3.125,0,24564,357,3807,37,0,20955.513427734375,63773.23828125,0,134868701184,8589930496,2654187520,8912896
200,1760487605832,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,13.043478012084961,9.090909004211426,13.043478012084961,9.090909004211426,95.23809814453125,13.043478012084961,100,9.090909004211426,13.043478012084961,9.090909004211426,8.69565200805664,8.69565200805664,9.090909004211426,8.69565200805664,9.090909004211426,13.043478012084961,9.090909004211426,13.043478012084961,9.090909004211426,9.090909004211426,9.090909004211426,12.5,8.69565200805664,8.69565200805664,9.090909004211426,13.043478012084961,13.043478012084961,8.69565200805664,9.090909004211426,13.043478012084961,13.043478012084961,8.69565200805664,0,24564,357,3807,37,0,20969.28973388672,63784.648010253906,0,134868701184,8589930496,2863607808,8912896
200,1760487606032,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,57.894737243652344,30.000001907348633,31.57894515991211,30.000001907348633,66.66667175292969,30.000001907348633,100,30.000001907348633,35,30.000001907348633,35,31.57894515991211,30.000001907348633,31.57894515991211,38.095237731933594,30.000001907348633,30.000001907348633,30.000001907348633,30.000001907348633,33.333335876464844,30.000001907348633,31.57894515991211,31.57894515991211,31.57894515991211,30.000001907348633,31.57894515991211,30.000001907348633,35,33.333335876464844,30.000001907348633,31.57894515991211,31.57894515991211,0,24564,357,3808,37,0,20987.537109375,63800.56475830078,0,134868701184,8589930496,2909540352,8912896
200,1760487606232,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3808,37,0,20998.620544433594,63809.34344482422,0,134868701184,8589930496,2950569984,8912896
200,1760487606432,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,5,0,0,0,60.000003814697266,36.842105865478516,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3808,37,0,21009.44366455078,63817.84411621094,0,134868701184,8589930496,2992631808,8912896
199,1760487606632,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3808,37,0,21020.20684814453,63826.27606201172,0,134868701184,8589930496,3021787136,8912896
200,1760487606832,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3808,37,0,21030.947265625,63834.73291015625,0,134868701184,8589930496,3047071744,8912896
200,1760487607032,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3861,37,0,21041.789001464844,63843.27069091797,0,134868701184,8589930496,3055345664,8912896
200,1760487607232,1034,800,5700,800,2334,800,5877,800,800,800,3051,4399,800,3319,800,2472,4399,800,800,2039,1602,800,800,800,1971,2058,800,800,5700,800,1140,800,65,55,40,42.85714340209961,45,71.42857360839844,100,45,40,42.105262756347656,40,42.85714340209961,42.105262756347656,42.85714340209961,42.105262756347656,42.105262756347656,45,40,45,40,45,40,45,40,45,40,40,40,42.85714340209961,45,40,40,0,24564,357,3861,37,0,21062.06134033203,63861.17614746094,0,134868701184,8589930496,3074535424,8912896
