Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760543059583,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,2.777777910232544,0,0,0,82.85714721679688,19.44444465637207,0,0,0,0,2.857142925262451,0,0,0,0,0,0,0,0,0,2.702702760696411,0,0,0,2.777777910232544,0,0,0,2.702702760696411,0,2.857142925262451,0,0,24564,357,3750,39,0,250688.3197631836,136698.7105102539,0,134868701184,8589930496,2617466880,7340032
200,1760543059584,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,2.777777910232544,0,0,0,82.85714721679688,19.44444465637207,0,0,0,0,2.857142925262451,0,0,0,0,0,0,0,0,0,2.702702760696411,0,0,0,2.777777910232544,0,0,0,2.702702760696411,0,2.857142925262451,0,0,24564,357,3750,39,0,250688.7646484375,136699.04510498047,0,134868701184,8589930496,2627272704,7340032
200,1760543059784,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,4.545454502105713,4.34782600402832,4.545454502105713,0,100,0,86.9565200805664,4.34782600402832,0,4.34782600402832,4.34782600402832,4.34782600402832,4.34782600402832,8.69565200805664,4.545454502105713,0,4.34782600402832,4.545454502105713,0,4.34782600402832,0,0,4.34782600402832,4.34782600402832,0,0,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.34782600402832,4.34782600402832,0,24564,357,3917,39,0,250699.9301147461,136707.84149169922,0,134868701184,8589930496,2807906304,7340032
200,1760543059984,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,36.842105865478516,40,35,38.095237731933594,100,40,68.42105102539063,40,40,40,36.842105865478516,36.842105865478516,40,36.842105865478516,40,40,36.842105865478516,35,40,36.842105865478516,40,40,36.842105865478516,36.842105865478516,40,40,40,38.095237731933594,70,35,36.842105865478516,40,0,24564,357,3917,39,0,250720.24151611328,136725.80694580078,0,134868701184,8589930496,2863357952,7340032
200,1760543060184,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3917,39,0,250731.80126953125,136735.0249633789,0,134868701184,8589930496,2900729856,7340032
200,1760543060384,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,0,0,0,0,100,0,35,60.000003814697266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,3917,39,0,250742.9024658203,136743.78448486328,0,134868701184,8589930496,2939953152,7340032
200,1760543060584,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3917,39,0,250754.0224609375,136752.54370117188,0,134868701184,8589930496,2970390528,7340032
200,1760543060785,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,0,0,0,0,100,0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,3849,39,0,250765.09869384766,136761.30291748047,0,134868701184,8589930496,2982514688,7340032
200,1760543060985,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3849,39,0,250776.0014038086,136769.8861694336,0,134868701184,8589930496,3005984768,7340032
199,1760543061185,1251,800,800,800,800,5900,800,800,4399,2638,2602,4364,800,4400,800,800,1449,800,1622,1658,1620,800,800,800,1768,1766,800,800,800,800,1879,800,45,40,45,42.105262756347656,100,40,42.85714340209961,100,40,40,45,42.85714340209961,42.105262756347656,42.85714340209961,42.105262756347656,40,42.85714340209961,45,40,42.85714340209961,45,42.85714340209961,42.85714340209961,42.85714340209961,42.85714340209961,45,40,42.105262756347656,45,45,42.85714340209961,40,0,24564,357,3849,39,0,250796.0079345703,136787.4868774414,0,134868701184,8589930496,3055292416,7340032
