Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760542433757,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,0,0,0,16.666667938232422,83.33332824707031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3624,39,0,218596.31127929688,112274.79180908203,0,134868701184,8589930496,2634485760,7340032
200,1760542433757,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,0,0,0,16.666667938232422,83.33332824707031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3624,39,0,218596.92797851563,112275.27960205078,0,134868701184,8589930496,2644549632,7340032
200,1760542433957,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,8.69565200805664,4.545454502105713,13.043478012084961,4.545454502105713,4.545454502105713,100,82.60869598388672,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,4.34782600402832,8.333333969116211,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,4.34782600402832,4.34782600402832,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.34782600402832,4.34782600402832,0,24564,357,3624,39,0,218608.98889160156,112284.9418334961,0,134868701184,8589930496,2835705856,7340032
200,1760542434157,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,36.842105865478516,38.095237731933594,40,38.095237731933594,35,100,52.6315803527832,38.095237731933594,40,40,38.095237731933594,40,36.842105865478516,38.095237731933594,36.842105865478516,40,38.095237731933594,38.095237731933594,35,35,36.842105865478516,36.842105865478516,38.095237731933594,40,40,40,85,35,35,38.095237731933594,36.842105865478516,40,0,24564,357,3687,39,0,218628.16339111328,112301.81231689453,0,134868701184,8589930496,2905133056,7340032
200,1760542434357,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3687,39,0,218639.53857421875,112310.84954833984,0,134868701184,8589930496,2939195392,7340032
200,1760542434557,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,9.523809432983398,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3687,39,0,218650.64166259766,112319.61083984375,0,134868701184,8589930496,2978160640,7340032
200,1760542434757,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,4.761904716491699,0,0,0,100,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3687,39,0,218661.69561767578,112328.31646728516,0,134868701184,8589930496,3008598016,7340032
199,1760542434957,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3687,39,0,218672.7484741211,112337.06665039063,0,134868701184,8589930496,3033878528,7340032
200,1760542435157,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3759,39,0,218683.5093383789,112345.51892089844,0,134868701184,8589930496,3038543872,7340032
200,1760542435357,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,47.36842346191406,40,40,42.105262756347656,45,100,100,42.105262756347656,40,42.105262756347656,42.105262756347656,40,40,40,45,40,42.105262756347656,42.105262756347656,45,45,42.85714340209961,42.85714340209961,42.105262756347656,40,40,40,40,42.85714340209961,45,40,42.85714340209961,40,0,24564,357,3759,39,0,218703.5082397461,112363.13354492188,0,134868701184,8589930496,3069128704,7340032
199,1760542435557,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3759,39,0,218715.04034423828,112372.32580566406,0,134868701184,8589930496,3089510400,7340032
200,1760542435757,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,4.761904716491699,0,0,0,0,100,95,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3759,39,0,218726.13079833984,112381.05517578125,0,134868701184,8589930496,3103186944,7340032
200,1760542435957,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,5,0,0,0,0,100,33.333335876464844,35,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,24564,357,3759,39,0,218736.81860351563,112389.42095947266,0,134868701184,8589930496,3140075520,7340032
200,1760542436157,4645,800,800,800,5938,800,800,800,4403,1320,800,800,800,800,800,1199,4399,966,800,800,950,800,800,800,800,799,800,800,800,800,5255,800,5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3778,39,0,218747.77862548828,112397.99719238281,0,134868701184,8589930496,3233972224,7340032
