generation,n_runs,mean_Ept,median_Ept,var_Ept,sd_Ept,min_Ept,max_Ept
2,6,6.358690989326562,6.362912877549448,9.27752495695634e-4,0.03045902978913862,6.303322941586617,6.390832541458093
3,6,6.919961634212641,6.911203593613724,0.001405704580929281,0.03749272704044454,6.882743488177135,6.988479791592237
3.1,6,6.959518148069745,6.975032570513385,0.0011757975623818695,0.03428990467151913,6.914190506748252,6.997112549964993
3.2,12,2.21399167521337,2.207193417469842,0.9064510191217444,0.9520772127940803,1.293843019381055,3.140853503201207
