Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760593599474,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,2.702702760696411,0,2.777777910232544,0,44.4444465637207,57.142860412597656,2.777777910232544,0,0,2.702702760696411,0,0,0,0,2.702702760696411,0,0,0,2.777777910232544,0,0,0,2.777777910232544,0,0,0,0,0,0,0,0,24564,357,3841,38,0,239698.98529052734,28158.893981933594,0,134868701184,8589930496,2641104896,7077888
200,1760593599474,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,2.702702760696411,0,2.777777910232544,0,44.4444465637207,57.142860412597656,2.777777910232544,0,0,2.702702760696411,0,0,0,0,2.702702760696411,0,0,0,2.777777910232544,0,0,0,2.777777910232544,0,0,0,0,0,0,0,0,24564,357,3841,38,0,239699.50439453125,28159.296447753906,0,134868701184,8589930496,2644975616,7077888
200,1760593599675,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,71.42857360839844,0,0,100,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,24564,357,3876,38,0,239710.18322753906,28167.646850585938,0,134868701184,8589930496,2832531456,7077888
199,1760593599875,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,40,40,40,42.85714340209961,14.285715103149414,75,40,100,42.85714340209961,42.85714340209961,40,42.85714340209961,45,40,40,42.85714340209961,40,42.85714340209961,45,40,40,40,42.105262756347656,45,42.85714340209961,45,57.894737243652344,42.85714340209961,42.85714340209961,42.105262756347656,42.105262756347656,40,0,24564,357,3876,38,0,239730.9955444336,28186.125122070313,0,134868701184,8589930496,2887495680,7077888
199,1760593600075,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3876,38,0,239741.97283935547,28194.792541503906,0,134868701184,8589930496,2917019648,7077888
200,1760593600275,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,9.523809432983398,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3876,38,0,239752.64178466797,28203.147705078125,0,134868701184,8589930496,2970435584,7077888
199,1760593600475,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3876,38,0,239763.39642333984,28211.56494140625,0,134868701184,8589930496,3002679296,7077888
200,1760593600675,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,4.761904716491699,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3843,38,0,239774.0301513672,28219.922485351563,0,134868701184,8589930496,3014287360,7077888
199,1760593600875,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,4.761904716491699,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3843,38,0,239784.62451171875,28228.234924316406,0,134868701184,8589930496,3037769728,7077888
200,1760593601075,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,47.36842346191406,45,45,42.105262756347656,42.105262756347656,100,42.85714340209961,100,42.105262756347656,40,42.85714340209961,42.105262756347656,40,40,45,42.105262756347656,45,42.105262756347656,40,45,42.85714340209961,45,42.85714340209961,40,42.105262756347656,40,40,40,40,42.85714340209961,42.85714340209961,45,0,24564,357,3843,38,0,239804.43634033203,28245.671447753906,0,134868701184,8589930496,3064909824,7077888
200,1760593601275,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,5,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3843,38,0,239815.58966064453,28254.529235839844,0,134868701184,8589930496,3089682432,7077888
199,1760593601475,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3843,38,0,239826.2163696289,28262.802734375,0,134868701184,8589930496,3102842880,7077888
200,1760593601675,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,15.000000953674316,0,38.095237731933594,25,0,100,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3854,38,0,239836.59130859375,28270.882751464844,0,134868701184,8589930496,3120132096,7077888
200,1760593601875,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,5,0,15.000000953674316,0,20,63.15789031982422,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3854,38,0,239847.30487060547,28279.228759765625,0,134868701184,8589930496,3225931776,7077888
199,1760593602075,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,40,0,5,0,0,52.38095474243164,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3854,38,0,239858.26892089844,28287.74041748047,0,134868701184,8589930496,3377188864,7077888
200,1760593602275,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3854,38,0,239868.998046875,28296.169494628906,0,134868701184,8589930496,3450732544,7077888
200,1760593602475,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,5,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3854,38,0,239879.58197021484,28304.352478027344,0,134868701184,8589930496,3454791680,7077888
200,1760593602675,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3916,38,0,239890.20544433594,28312.649780273438,0,134868701184,8589930496,3493457920,7077888
199,1760593602876,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,15.000000953674316,0,0,0,0,80,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,809,4930,39,2,239899.86151123047,28319.79736328125,0,134868701184,8589930496,3608096768,7077888
200,1760593603076,5700,800,800,800,5700,800,5855,800,4399,800,800,4400,800,4398,800,4400,4397,800,800,4399,4399,4400,800,4413,4401,800,3174,800,2240,800,1122,800,20,15.000000953674316,20,0,75,5,0,100,19.047618865966797,15.000000953674316,15.000000953674316,15.000000953674316,33.333335876464844,15.000000953674316,19.047618865966797,15.000000953674316,15.789472579956055,15.000000953674316,15.000000953674316,19.047618865966797,15.000000953674316,15.000000953674316,15.000000953674316,5,15.000000953674316,15.000000953674316,0,20,20,0,0,20,0,24564,893,13282,39,5,239912.97412109375,28330.161743164063,0,134868701184,8589930496,3704881152,7077888
