generation,n_runs,mean_energy,median_energy,var_energy,sd_energy,min_energy,max_energy
2,6,81556.68663037218,81303.94895288738,30218639.504276402,5497.148306556446,73748.55649335939,87434.66403422525
3,6,76065.62267180014,81262.23070801431,457806558.1081621,21396.414608718023,49513.379323431,102331.38953111981
3.1,6,70402.65228867297,64709.83295821615,371556032.9163776,19275.78877546591,49710.88927489584,100755.80440835287
3.2,12,25930.61193961697,23180.267367272136,131056930.08403169,11448.009874385665,10135.028413789061,43561.241149954425
