Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760545675870,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,0,0,96.66666412353516,0,0,0,0,0,6.6666669845581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3830,37,0,123213.80950927734,239224.88299560547,0,134868701184,8589930496,2634129408,7340032
202,1760545675870,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,0,0,96.66666412353516,0,0,0,0,0,6.6666669845581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3830,37,0,123214.26477050781,239225.2280883789,0,134868701184,8589930496,2662465536,7340032
200,1760545676073,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,8.69565200805664,0,4.34782600402832,4.545454502105713,80.95238494873047,4.34782600402832,100,0,4.34782600402832,4.34782600402832,4.34782600402832,4.34782600402832,0,0,4.545454502105713,4.545454502105713,4.34782600402832,4.545454502105713,4.34782600402832,17.39130401611328,4.545454502105713,0,4.545454502105713,4.34782600402832,4.34782600402832,8.69565200805664,4.34782600402832,4.545454502105713,4.545454502105713,0,4.545454502105713,4.34782600402832,0,24564,357,3830,37,0,123225.4076538086,239234.00390625,0,134868701184,8589930496,2838265856,7340032
200,1760545676273,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,40,40,40,35,100,40,71.42857360839844,40,40,36.842105865478516,36.842105865478516,40,70,40,38.095237731933594,35,36.842105865478516,38.095237731933594,36.842105865478516,40,38.095237731933594,40,35,40,40,36.842105865478516,36.842105865478516,38.095237731933594,36.842105865478516,38.095237731933594,35,40,0,24564,357,3841,37,0,123245.37896728516,239251.6357421875,0,134868701184,8589930496,2872586240,7340032
200,1760545676473,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,24564,357,3841,37,0,123256.39758300781,239260.34436035156,0,134868701184,8589930496,2924208128,7340032
200,1760545676673,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24564,357,3841,37,0,123267.2387084961,239268.86309814453,0,134868701184,8589930496,2963173376,7340032
200,1760545676873,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3841,37,0,123278.09954833984,239277.39135742188,0,134868701184,8589930496,2993364992,7340032
200,1760545677074,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24564,357,3841,37,0,123288.99774169922,239286.0009765625,0,134868701184,8589930496,3004354560,7340032
200,1760545677274,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,3834,37,0,123299.86804199219,239294.5795288086,0,134868701184,8589930496,3029381120,7340032
200,1760545677474,800,800,2389,800,1504,800,5765,800,4142,800,4401,800,5700,800,800,2725,3067,1855,1459,800,2393,2124,1976,800,800,1623,3046,800,4702,800,4023,800,42.105262756347656,42.85714340209961,40,45,100,40,100,45,40,42.85714340209961,42.85714340209961,40,40,42.105262756347656,42.105262756347656,45,42.85714340209961,42.105262756347656,42.85714340209961,40,42.105262756347656,42.85714340209961,45,40,40,42.85714340209961,42.85714340209961,42.105262756347656,47.619049072265625,45,42.105262756347656,40,0,24564,357,3834,37,0,123319.99060058594,239312.3240966797,0,134868701184,8589930496,3060695040,7340032
