generation,model_size_b,n_runs,mean_energy_J,median_energy_J,var_energy_J,sd_energy_J,min_energy_J,max_energy_J,mean_J_per_B,median_J_per_B,var_J_per_B,sd_J_per_B,min_J_per_B,max_J_per_B
2,7,6,81556.68663037218,81303.94895288738,30218639.504276402,5497.148306556446,73748.55649335939,87434.66403422525,11650.955232910312,11614.849850412484,616706.9286587017,785.3069009366349,10535.508070479913,12490.666290603607
3,8,6,76065.62267180014,81262.23070801431,457806558.1081621,21396.414608718023,49513.379323431,102331.38953111981,9508.202833975018,10157.778838501788,7153227.470440033,2674.551826089753,6189.172415428875,12791.423691389977
3.1,8,6,70402.65228867297,64709.83295821615,371556032.91637766,19275.788775465913,49710.88927489584,100755.80440835287,8800.33153608412,8088.729119777019,5805563.014318401,2409.473596933239,6213.86115936198,12594.475551044108
3.2,1,6,15842.117578038196,16122.300916569016,12768756.767933484,3573.339721875529,10135.028413789061,20002.93353033203,15842.117578038196,16122.300916569016,12768756.767933484,3573.339721875529,10135.028413789061,20002.93353033203
3.2,3,6,36019.106301195745,36242.874366044925,31289965.056280065,5593.7433849149775,26357.60120421224,43561.241149954425,12006.368767065249,12080.958122014978,3476662.784031119,1864.5811283049925,8785.867068070746,14520.413716651476
