Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760501364075,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,10,22.580644607543945,0,67.74193572998047,0,3.125,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,24564,357,4336,39,0,210172.33166503906,83235.83270263672,0,134868701184,8589930496,2623426560,7340032
202,1760501364075,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,10,22.580644607543945,0,67.74193572998047,0,3.125,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,24564,357,4336,39,0,210172.80194091797,83236.19549560547,0,134868701184,8589930496,2629566464,7340032
199,1760501364277,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,4.761904716491699,4.545454502105713,4.545454502105713,8.69565200805664,86.36363983154297,4.761904716491699,100,4.545454502105713,4.545454502105713,8.69565200805664,8.69565200805664,8.69565200805664,4.761904716491699,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,4.761904716491699,8.69565200805664,13.636363983154297,8.69565200805664,8.69565200805664,9.090909004211426,4.545454502105713,4.545454502105713,9.090909004211426,4.545454502105713,8.69565200805664,8.69565200805664,8.69565200805664,12.5,8.69565200805664,0,24564,357,4336,39,0,210184.86822509766,83245.87963867188,0,134868701184,8589930496,2819485696,7340032
199,1760501364477,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,35,35,40,35,66.66667175292969,33.333335876464844,66.66667175292969,35,35,36.842105865478516,35,35,65,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,65,35,35,35,0,24564,357,4191,39,0,210203.39617919922,83262.06719970703,0,134868701184,8589930496,2883043328,7340032
200,1760501364677,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4191,39,0,210214.587890625,83270.9296875,0,134868701184,8589930496,2916331520,7340032
200,1760501364877,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,40,57.142860412597656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4191,39,0,210225.65814208984,83279.65930175781,0,134868701184,8589930496,2955812864,7340032
200,1760501365077,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,21.052631378173828,15.000000953674316,0,0,65,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4191,39,0,210237.3872680664,83289.03662109375,0,134868701184,8589930496,2982629376,7340032
199,1760501365277,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,4.761904716491699,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4191,39,0,210248.39135742188,83297.73657226563,0,134868701184,8589930496,3006341120,7340032
200,1760501365477,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4174,39,0,210259.13409423828,83306.16790771484,0,134868701184,8589930496,3014336512,7340032
200,1760501365677,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,47.619049072265625,42.85714340209961,40,40,100,45,45,100,45,40,40,42.105262756347656,45,45,40,45,42.85714340209961,45,40,42.105262756347656,42.105262756347656,42.105262756347656,42.105262756347656,40,40,40,42.85714340209961,40,45,42.105262756347656,40,42.105262756347656,0,24564,357,4174,39,0,210279.2039794922,83323.8490600586,0,134868701184,8589930496,3047337984,7340032
199,1760501365877,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4174,39,0,210290.7173461914,83333.02185058594,0,134868701184,8589930496,3062669312,7340032
200,1760501366077,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4174,39,0,210301.81884765625,83341.76916503906,0,134868701184,8589930496,3072741376,7340032
200,1760501366277,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,5,0,0,0,100,0,33.333335876464844,0,0,15.000000953674316,0,0,42.85714340209961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4174,39,0,210312.5336303711,83350.15460205078,0,134868701184,8589930496,3112210432,7340032
200,1760501366477,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,88.8888931274414,0,0,0,0,0,10.526315689086914,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4177,39,0,210323.50756835938,83358.7396850586,0,134868701184,8589930496,3214655488,7340032
199,1760501366677,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,45.45454788208008,4.761904716491699,0,0,100,0,54.54545593261719,0,0,9.523809432983398,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,24564,357,4177,39,0,210334.27270507813,83367.04205322266,0,134868701184,8589930496,3366899712,7340032
200,1760501366878,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4177,39,0,210345.2950439453,83375.73303222656,0,134868701184,8589930496,3440672768,7340032
200,1760501367078,1637,800,5666,800,2025,800,5762,800,4400,4400,800,800,3746,4398,800,4398,4399,1506,800,4243,853,1843,800,800,800,4215,1325,800,5699,800,1854,800,5,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24564,357,4177,39,0,210356.53771972656,83384.56616210938,0,134868701184,8589930496,3460960256,7340032
