run,repetition,__done,generation,model_size,task,tokens,duration_ms,time(s),energy,accuracy
28,15,DONE,3.2,3B,WiC,11831,93831,"93,83",36315.806488085975,1.0
12,18,DONE,3.1,8B,BoolQ,8089,138838,"138,84",56347.803034765675,0.9692307692307693
9,27,DONE,3.0,8B,RTE,11756,198859,"198,86",80397.40408535153,0.9133333333333333
2,26,DONE,2.0,7B,COPA,12554,191675,"191,68",78362.10946191411,1.0
27,15,DONE,3.2,3B,RTE,11415,90837,"90,84",35483.108416406256,1.0
23,17,DONE,3.2,1B,WSC,7583,26814,"26,81",9818.50430605469,0.7647619047619048
12,5,DONE,3.1,8B,BoolQ,8089,137859,"137,86",55141.5664269531,0.9214285714285715
6,14,DONE,3.0,8B,BoolQ,7085,121649,"121,65",49598.609565429695,1.0
5,5,DONE,2.0,7B,WSC,11578,178670,"178,67",73433.12246523448,0.9666666666666668
4,17,DONE,2.0,7B,WiC,13138,201896,"201,90",82890.73331796864,1.0
25,0,DONE,3.2,3B,CB,14062,111835,"111,84",43513.03961328124,1.0
29,9,DONE,3.2,3B,WSC,8275,66822,"66,82",25922.40209023429,0.8333333333333334
15,8,DONE,3.1,8B,RTE,9180,156649,"156,65",63013.36377675789,0.9666666666666668
26,18,DONE,3.2,3B,COPA,11640,91634,"91,63",35951.53707812504,1.0
23,25,DONE,3.2,1B,WSC,7583,26811,"26,81",9825.42654667963,0.8099999999999999
20,1,DONE,3.2,1B,COPA,11304,38822,"38,82",14263.663005078126,0.7666666666666667
0,24,DONE,2.0,7B,BoolQ,13756,211694,"211,69",86068.43350996092,0.95
29,13,DONE,3.2,3B,WSC,8275,65819,"65,82",25584.197532226495,0.9714285714285715
4,1,DONE,2.0,7B,WiC,13138,201877,"201,88",82053.49211894535,1.0
22,15,DONE,3.2,1B,WiC,12666,43816,"43,82",16223.58243476562,1.0
28,20,DONE,3.2,3B,WiC,11831,92838,"92,84",35453.673441796884,1.0
17,15,DONE,3.1,8B,WSC,7126,122839,"122,84",49107.04207597659,0.8333333333333333
24,10,DONE,3.2,3B,BoolQ,11507,91846,"91,85",35361.33309707028,1.0
28,0,DONE,3.2,3B,WiC,11831,93825,"93,83",36603.936796289054,1.0
28,13,DONE,3.2,3B,WiC,11831,92627,"92,63",36388.39310078125,1.0
10,2,DONE,3.0,8B,WiC,14810,250687,"250,69",100076.5149164062,0.9555555555555555
29,7,DONE,3.2,3B,WSC,8275,66821,"66,82",25848.96953476565,0.6
28,17,DONE,3.2,3B,WiC,11831,92829,"92,83",36339.8535785156,1.0
20,17,DONE,3.2,1B,COPA,11304,38813,"38,81",14273.95296640625,0.75
18,4,DONE,3.2,1B,BoolQ,14644,49816,"49,82",18536.22700527344,0.8857142857142858
26,19,DONE,3.2,3B,COPA,11640,91834,"91,83",35678.110414648414,1.0
18,12,DONE,3.2,1B,BoolQ,14644,49819,"49,82",18585.037384765667,1.0
9,5,DONE,3.0,8B,RTE,11756,199678,"199,68",80755.71970722666,0.96
6,19,DONE,3.0,8B,BoolQ,7085,120858,"120,86",48921.469521484425,0.9666666666666668
15,26,DONE,3.1,8B,RTE,9180,156856,"156,86",63829.21759960935,1.0
22,1,DONE,3.2,1B,WiC,12666,42813,"42,81",16081.807830859383,1.0
24,7,DONE,3.2,3B,BoolQ,11507,91842,"91,84",35575.55424941406,0.9047619047619048
23,19,DONE,3.2,1B,WSC,7583,26809,"26,81",9903.056297265624,0.7833333333333333
4,24,DONE,2.0,7B,WiC,13138,201887,"201,89",82245.88607578137,1.0
7,10,DONE,3.0,8B,CB,13110,222894,"222,89",91350.9437966798,0.9333333333333332
3,24,DONE,2.0,7B,RTE,12250,188866,"188,87",77556.94458593748,1.0
26,4,DONE,3.2,3B,COPA,11640,92851,"92,85",36057.54602324216,0.95
1,14,DONE,2.0,7B,CB,13678,210870,"210,87",86572.84323886714,1.0
19,16,DONE,3.2,1B,CB,14801,50830,"50,83",19194.143908984377,0.9083333333333332
14,12,DONE,3.1,8B,COPA,12455,210694,"210,69",85238.26518417982,1.0
14,21,DONE,3.1,8B,COPA,12455,211889,"211,89",86212.96517460931,0.975
6,22,DONE,3.0,8B,BoolQ,7085,120839,"120,84",49300.36495585942,1.0
6,13,DONE,3.0,8B,BoolQ,7085,121842,"121,84",50034.37881230467,1.0
20,26,DONE,3.2,1B,COPA,11304,38813,"38,81",14502.635817382868,0.8
6,17,DONE,3.0,8B,BoolQ,7085,120839,"120,84",49132.0205109376,0.95
29,10,DONE,3.2,3B,WSC,8275,66823,"66,82",26020.032083789043,0.745
20,25,DONE,3.2,1B,COPA,11304,38815,"38,82",14338.088089062509,0.5333333333333333
6,29,DONE,3.0,8B,BoolQ,7085,121648,"121,65",48685.9456339844,0.95
8,24,DONE,3.0,8B,COPA,11806,199676,"199,68",80954.77471308586,0.9675
10,10,DONE,3.0,8B,WiC,14810,249698,"249,70",102187.81256464832,0.9777777777777779
2,14,DONE,2.0,7B,COPA,12554,191667,"191,67",79101.45763925774,0.9666666666666668
20,23,DONE,3.2,1B,COPA,11304,38615,"38,62",14524.642191796882,0.975
29,23,DONE,3.2,3B,WSC,8275,66825,"66,83",25990.988963671887,1.0
0,27,DONE,2.0,7B,BoolQ,13756,211872,"211,87",87359.4706283203,0.9028571428571428
15,24,DONE,3.1,8B,RTE,9180,156854,"156,85",63786.24933613282,0.9333333333333332
25,22,DONE,3.2,3B,CB,14062,111840,"111,84",44305.819425000016,1.0
17,27,DONE,3.1,8B,WSC,7126,121637,"121,64",49215.69680488278,0.9428571428571428
11,5,DONE,3.0,8B,WSC,7419,125840,"125,84",50562.41660156249,0.6742857142857142
12,21,DONE,3.1,8B,BoolQ,8089,138868,"138,87",56413.14431855471,0.9333333333333332
14,23,DONE,3.1,8B,COPA,12455,210665,"210,67",84681.64507167977,1.0
12,20,DONE,3.1,8B,BoolQ,8089,138651,"138,65",56403.93547226563,0.95
13,8,DONE,3.1,8B,CB,9343,159667,"159,67",64595.74430761722,0.975
17,2,DONE,3.1,8B,WSC,7126,121850,"121,85",49158.7999710938,1.0
2,23,DONE,2.0,7B,COPA,12554,192867,"192,87",78600.16813027351,1.0
9,0,DONE,3.0,8B,RTE,11756,198883,"198,88",80247.8209638672,0.9418181818181818
1,11,DONE,2.0,7B,CB,13678,211896,"211,90",86377.11637050782,0.9666666666666668
12,7,DONE,3.1,8B,BoolQ,8089,137656,"137,66",56372.6724039064,1.0
4,9,DONE,2.0,7B,WiC,13138,202664,"202,66",82965.31183066417,1.0
0,18,DONE,2.0,7B,BoolQ,13756,211865,"211,87",86470.89926328127,0.95
23,18,DONE,3.2,1B,WSC,7583,26808,"26,81",10195.3451671875,0.611111111111111
29,1,DONE,3.2,3B,WSC,8275,65618,"65,62",25668.795661328186,0.8277777777777778
5,14,DONE,2.0,7B,WSC,11578,178694,"178,69",73526.61723554686,0.9028571428571428
14,17,DONE,3.1,8B,COPA,12455,210690,"210,69",86168.80747968757,1.0
16,12,DONE,3.1,8B,WiC,14562,245871,"245,87",99635.82238671872,1.0
29,24,DONE,3.2,3B,WSC,8275,66821,"66,82",26027.362519726576,0.9
4,2,DONE,2.0,7B,WiC,13138,201662,"201,66",83032.05345624997,1.0
13,20,DONE,3.1,8B,CB,9343,159875,"159,88",65536.05486503907,0.96
22,8,DONE,3.2,1B,WiC,12666,42812,"42,81",16481.497684179685,1.0
9,14,DONE,3.0,8B,RTE,11756,199663,"199,66",81157.64147792969,1.0
7,11,DONE,3.0,8B,CB,13110,221876,"221,88",90330.00216542985,0.925
14,7,DONE,3.1,8B,COPA,12455,210898,"210,90",85546.85588242189,1.0
20,2,DONE,3.2,1B,COPA,11304,38817,"38,82",14584.406200195368,0.8
6,8,DONE,3.0,8B,BoolQ,7085,121836,"121,84",49466.49518496096,1.0
19,29,DONE,3.2,1B,CB,14801,50821,"50,82",19274.472112304695,0.8800000000000001
8,5,DONE,3.0,8B,COPA,11806,198682,"198,68",80569.39723027342,0.9492063492063492
16,19,DONE,3.1,8B,WiC,14562,245699,"245,70",100504.2787617188,1.0
6,21,DONE,3.0,8B,BoolQ,7085,120850,"120,85",49272.459672265686,1.0
13,12,DONE,3.1,8B,CB,9343,159656,"159,66",64851.99504042968,0.8833333333333332
25,3,DONE,3.2,3B,CB,14062,111644,"111,64",43624.81167480471,1.0
19,8,DONE,3.2,1B,CB,14801,50821,"50,82",18960.52346054688,0.9818181818181818
28,21,DONE,3.2,3B,WiC,11831,92836,"92,84",35908.05230625,0.96
3,28,DONE,2.0,7B,RTE,12250,189859,"189,86",77673.98573671884,1.0
29,12,DONE,3.2,3B,WSC,8275,65829,"65,83",25810.32832773432,0.9333333333333332
29,19,DONE,3.2,3B,WSC,8275,65837,"65,84",25462.772819531252,0.7944444444444445
8,25,DONE,3.0,8B,COPA,11806,199870,"199,87",80692.31699453125,0.9318181818181819
10,8,DONE,3.0,8B,WiC,14810,250901,"250,90",102193.95972343764,0.9514285714285714
29,5,DONE,3.2,3B,WSC,8275,65820,"65,82",25759.882912499997,0.9666666666666668
15,23,DONE,3.1,8B,RTE,9180,157850,"157,85",63914.25769023436,1.0
7,20,DONE,3.0,8B,CB,13110,221869,"221,87",90791.70272402334,0.9833333333333332
19,28,DONE,3.2,1B,CB,14801,50817,"50,82",19340.255550585945,0.932867132867133
11,25,DONE,3.0,8B,WSC,7419,125858,"125,86",50813.83461757821,0.95
26,7,DONE,3.2,3B,COPA,11640,91636,"91,64",35935.243711523435,0.96
17,26,DONE,3.1,8B,WSC,7126,122650,"122,65",49668.202423632814,1.0
16,7,DONE,3.1,8B,WiC,14562,245695,"245,70",99956.8613234375,1.0
18,25,DONE,3.2,1B,BoolQ,14644,49617,"49,62",18858.31132285156,0.9428571428571428
26,9,DONE,3.2,3B,COPA,11640,91839,"91,84",35809.008554882836,1.0
22,25,DONE,3.2,1B,WiC,12666,43814,"43,81",16315.239194921876,0.9444444444444444
14,5,DONE,3.1,8B,COPA,12455,210876,"210,88",85129.27536406241,1.0
8,10,DONE,3.0,8B,COPA,11806,199881,"199,88",81180.04889941408,0.8425396825396826
22,21,DONE,3.2,1B,WiC,12666,43823,"43,82",16740.293618164073,0.8
17,22,DONE,3.1,8B,WSC,7126,121836,"121,84",49246.88099550776,0.95
18,21,DONE,3.2,1B,BoolQ,14644,50620,"50,62",19114.319104687485,1.0
11,20,DONE,3.0,8B,WSC,7419,126846,"126,85",50680.21139218752,0.9333333333333332
23,13,DONE,3.2,1B,WSC,7583,25814,"25,81",9605.901146484372,0.8
15,21,DONE,3.1,8B,RTE,9180,157864,"157,86",63674.68192070306,1.0
9,25,DONE,3.0,8B,RTE,11756,198885,"198,89",81617.95267753891,0.9833333333333332
12,22,DONE,3.1,8B,BoolQ,8089,137854,"137,85",56460.55303027338,1.0
8,0,DONE,3.0,8B,COPA,11806,199889,"199,89",81847.83360683566,0.875
