run,repetition,__done,generation,model_size,task,tokens,duration_ms,time(s),energy,accuracy
15,9,DONE,3.1,8B,RTE,9180,157664,"157,66",65134.362937890604,0.95
25,4,DONE,3.2,3B,CB,13729,108629,"108,63",43311.459176367214,0.9380952380952381
29,2,DONE,3.2,3B,WSC,8579,68829,"68,83",27146.68234023438,0.9333333333333332
16,9,DONE,3.1,8B,WiC,14562,245690,"245,69",99884.59910371092,0.9777777777777779
24,29,DONE,3.2,3B,BoolQ,10942,86639,"86,64",34067.547834179684,0.9199999999999999
14,6,DONE,3.1,8B,COPA,12455,211668,"211,67",86077.72420273436,1.0
18,19,DONE,3.2,1B,BoolQ,15104,51824,"51,82",19841.85196875002,0.8969696969696969
27,4,DONE,3.2,3B,RTE,11647,92850,"92,85",36293.46505898436,0.8666666666666666
0,22,DONE,2.0,7B,BoolQ,13756,211882,"211,88",87320.51167910149,1.0
24,9,DONE,3.2,3B,BoolQ,10942,86835,"86,84",34594.17760996093,1.0
25,21,DONE,3.2,3B,CB,13729,109845,"109,85",42972.38780097654,0.9033333333333333
14,2,DONE,3.1,8B,COPA,12455,210871,"210,87",85842.02377109378,0.9083333333333334
1,5,DONE,2.0,7B,CB,13678,211876,"211,88",87858.89744648447,1.0
27,22,DONE,3.2,3B,RTE,11647,92848,"92,85",36918.05322070313,0.8857142857142858
16,10,DONE,3.1,8B,WiC,14562,245880,"245,88",100797.55118125016,1.0
29,27,DONE,3.2,3B,WSC,8579,68822,"68,82",27182.349736132823,0.7428571428571429
24,4,DONE,3.2,3B,BoolQ,10942,86843,"86,84",34364.16074414068,1.0
19,26,DONE,3.2,1B,CB,15678,54825,"54,83",20796.108690039007,0.8584615384615384
6,15,DONE,3.0,8B,BoolQ,7085,120853,"120,85",48984.09487597658,0.9666666666666668
17,18,DONE,3.1,8B,WSC,7126,121839,"121,84",49443.6011150391,1.0
12,6,DONE,3.1,8B,BoolQ,8089,137851,"137,85",56290.2674193359,0.9636363636363636
3,13,DONE,2.0,7B,RTE,12250,188679,"188,68",78116.90230371075,0.9333333333333332
6,26,DONE,3.0,8B,BoolQ,7085,121849,"121,85",49914.57382207033,1.0
18,1,DONE,3.2,1B,BoolQ,15104,51821,"51,82",19602.02140136719,0.9333333333333332
2,13,DONE,2.0,7B,COPA,12554,191872,"191,87",79150.2355369141,1.0
3,29,DONE,2.0,7B,RTE,12250,188676,"188,68",77837.11299785158,1.0
0,1,DONE,2.0,7B,BoolQ,13756,210693,"210,69",87236.37939902347,1.0
10,15,DONE,3.0,8B,WiC,14810,250888,"250,89",103032.24547382818,0.9577777777777777
14,27,DONE,3.1,8B,COPA,12455,210889,"210,89",86093.69425097654,0.9666666666666668
17,9,DONE,3.1,8B,WSC,7126,121839,"121,84",49661.14511992188,0.7942857142857143
0,29,DONE,2.0,7B,BoolQ,13756,211923,"211,92",87683.05983281243,1.0
10,9,DONE,3.0,8B,WiC,14810,250696,"250,70",102914.97472773436,0.9568181818181818
4,10,DONE,2.0,7B,WiC,13138,201679,"201,68",83284.5418701173,1.0
11,11,DONE,3.0,8B,WSC,7419,126843,"126,84",51817.15376171873,0.9083333333333332
0,5,DONE,2.0,7B,BoolQ,13756,211911,"211,91",87695.34926914067,0.85
5,2,DONE,2.0,7B,WSC,11578,178870,"178,87",74461.57699023437,0.925
9,8,DONE,3.0,8B,RTE,11756,198878,"198,88",81689.42160683597,1.0
21,25,DONE,3.2,1B,RTE,10444,36810,"36,81",14015.321612304688,0.7038095238095238
13,14,DONE,3.1,8B,CB,9343,159656,"159,66",65252.26884824218,1.0
11,13,DONE,3.0,8B,WSC,7419,125849,"125,85",51231.30774570312,0.9666666666666668
19,6,DONE,3.2,1B,CB,15678,53823,"53,82",20564.17705664063,0.8171428571428571
13,17,DONE,3.1,8B,CB,9343,159871,"159,87",65123.15178945318,0.96
0,2,DONE,2.0,7B,BoolQ,13756,211890,"211,89",87461.80720917972,0.9625
9,21,DONE,3.0,8B,RTE,11756,198685,"198,69",81650.88012187509,1.0
20,5,DONE,3.2,1B,COPA,13054,44820,"44,82",17039.116050976503,0.6545454545454545
9,28,DONE,3.0,8B,RTE,11756,199900,"199,90",81755.57039023451,0.96
15,6,DONE,3.1,8B,RTE,9180,156654,"156,65",64271.913214843895,1.0
20,11,DONE,3.2,1B,COPA,13054,44821,"44,82",16897.55929394537,0.8
16,3,DONE,3.1,8B,WiC,14562,246899,"246,90",100992.927625586,1.0
27,25,DONE,3.2,3B,RTE,11647,91846,"91,85",36347.013864062654,1.0
0,11,DONE,2.0,7B,BoolQ,13756,211877,"211,88",87821.06514941399,0.96
2,9,DONE,2.0,7B,COPA,12554,191863,"191,86",79473.07587460944,0.96
16,18,DONE,3.1,8B,WiC,14562,245879,"245,88",101488.26225976576,0.8
5,0,DONE,2.0,7B,WSC,11578,178870,"178,87",74081.69485312497,0.96
22,14,DONE,3.2,1B,WiC,12413,42819,"42,82",16385.669921484354,1.0
26,2,DONE,3.2,3B,COPA,11903,93840,"93,84",36778.363824218744,1.0
29,15,DONE,3.2,3B,WSC,8579,68619,"68,62",26825.914468554693,0.9333333333333332
3,20,DONE,2.0,7B,RTE,12250,188878,"188,88",77991.84124863285,0.9666666666666668
29,4,DONE,3.2,3B,WSC,8579,68819,"68,82",27096.032031054685,0.75
12,23,DONE,3.1,8B,BoolQ,8089,137652,"137,65",56351.51643417969,1.0
20,22,DONE,3.2,1B,COPA,13054,44815,"44,82",17030.332459179685,0.96
6,24,DONE,3.0,8B,BoolQ,7085,121848,"121,85",49593.486375390705,0.9142857142857143
1,0,DONE,2.0,7B,CB,13678,211676,"211,68",87862.54900078122,0.9555555555555555
2,20,DONE,2.0,7B,COPA,12554,191877,"191,88",79485.48322812501,1.0
0,10,DONE,2.0,7B,BoolQ,13756,211886,"211,89",87978.53448203127,0.9714285714285715
4,7,DONE,2.0,7B,WiC,13138,202856,"202,86",83908.4784136719,1.0
18,22,DONE,3.2,1B,BoolQ,15104,51828,"51,83",19938.368874218744,0.9866666666666667
27,19,DONE,3.2,3B,RTE,11647,92833,"92,83",36278.23867695312,0.9666666666666668
10,14,DONE,3.0,8B,WiC,14810,250897,"250,90",103491.63602343756,0.9242063492063493
2,7,DONE,2.0,7B,COPA,12554,191869,"191,87",79596.36030429676,1.0
12,3,DONE,3.1,8B,BoolQ,8089,137872,"137,87",56794.384370703134,1.0
25,14,DONE,3.2,3B,CB,14066,111832,"111,83",44283.385048632736,0.888888888888889
29,3,DONE,3.2,3B,WSC,8275,65828,"65,83",25733.229127929753,1.0
4,28,DONE,2.0,7B,WiC,13138,201662,"201,66",83391.48968535171,1.0
8,7,DONE,3.0,8B,COPA,11806,198693,"198,69",81950.44647617196,0.8966666666666667
22,16,DONE,3.2,1B,WiC,12666,43815,"43,82",16694.05079960938,1.0
19,27,DONE,3.2,1B,CB,14801,51821,"51,82",19612.103223828173,0.8800000000000001
1,4,DONE,2.0,7B,CB,13678,211868,"211,87",87323.49320488297,0.9666666666666668
29,26,DONE,3.2,3B,WSC,8275,65832,"65,83",25880.614420117185,0.6466666666666667
2,2,DONE,2.0,7B,COPA,12554,191876,"191,88",79285.56483203125,1.0
18,11,DONE,3.2,1B,BoolQ,14644,49815,"49,82",19018.85807871093,0.7915966386554621
24,6,DONE,3.2,3B,BoolQ,11507,91832,"91,83",36259.457745117215,1.0
26,1,DONE,3.2,3B,COPA,11640,92831,"92,83",36908.285790625,1.0
19,20,DONE,3.2,1B,CB,14801,50817,"50,82",19181.025108984373,0.96
8,14,DONE,3.0,8B,COPA,11806,198868,"198,87",80574.57406660152,0.9377777777777776
17,11,DONE,3.1,8B,WSC,7126,121852,"121,85",49830.21833984371,1.0
22,23,DONE,3.2,1B,WiC,12666,43828,"43,83",16680.163708007804,1.0
16,20,DONE,3.1,8B,WiC,14562,245899,"245,90",100970.43562128909,1.0
27,8,DONE,3.2,3B,RTE,11415,90832,"90,83",36379.05630546869,1.0
25,10,DONE,3.2,3B,CB,14062,111839,"111,84",44751.47332519533,1.0
23,1,DONE,3.2,1B,WSC,7583,26810,"26,81",9975.06270019531,0.6433333333333333
19,0,DONE,3.2,1B,CB,14801,50820,"50,82",19098.14179609372,0.8
10,26,DONE,3.0,8B,WiC,14810,250889,"250,89",102146.2166523439,1.0
24,8,DONE,3.2,3B,BoolQ,11507,91638,"91,64",36734.78194707037,0.95
20,18,DONE,3.2,1B,COPA,11304,39815,"39,82",14972.056947070309,0.9714285714285715
11,24,DONE,3.0,8B,WSC,7419,125851,"125,85",51172.27501484382,0.9199999999999999
2,8,DONE,2.0,7B,COPA,12554,192856,"192,86",80273.25960664057,1.0
9,15,DONE,3.0,8B,RTE,11756,198880,"198,88",82274.58694785168,0.9261904761904762
27,27,DONE,3.2,3B,RTE,11415,90827,"90,83",36242.027785351565,0.8800000000000001
9,23,DONE,3.0,8B,RTE,11756,198871,"198,87",82356.52657812492,1.0
19,1,DONE,3.2,1B,CB,14801,50818,"50,82",19595.385468359316,0.9555555555555555
17,19,DONE,3.1,8B,WSC,7126,121836,"121,84",49966.5164099611,0.8333333333333333
19,11,DONE,3.2,1B,CB,14801,50817,"50,82",19563.435716210948,0.8123809523809523
24,20,DONE,3.2,3B,BoolQ,11507,91832,"91,83",36846.10805664065,1.0
18,26,DONE,3.2,1B,BoolQ,14644,50620,"50,62",19390.806744335925,0.9333333333333333
11,2,DONE,3.0,8B,WSC,7419,126836,"126,84",51362.365202929715,0.8414285714285714
24,18,DONE,3.2,3B,BoolQ,11507,90843,"90,84",36090.14162207032,1.0
22,10,DONE,3.2,1B,WiC,12666,42812,"42,81",16254.96971074225,1.0
16,14,DONE,3.1,8B,WiC,14562,246887,"246,89",99881.71789902334,1.0
23,10,DONE,3.2,1B,WSC,7583,26809,"26,81",10079.341488085938,0.8357142857142857
9,29,DONE,3.0,8B,RTE,11756,198683,"198,68",80821.36210000006,1.0
25,26,DONE,3.2,3B,CB,14062,111658,"111,66",44203.838702929694,1.0
24,14,DONE,3.2,3B,BoolQ,11507,91857,"91,86",36246.00572792965,0.9714285714285715
14,15,DONE,3.1,8B,COPA,12455,210671,"210,67",85450.03687539064,1.0
16,6,DONE,3.1,8B,WiC,14562,246688,"246,69",101155.46803281248,1.0
12,9,DONE,3.1,8B,BoolQ,8089,137858,"137,86",56581.56117539059,0.95
10,7,DONE,3.0,8B,WiC,14810,250897,"250,90",104496.07348671876,0.9777777777777779
29,25,DONE,3.2,3B,WSC,8275,65824,"65,82",26112.735192382817,0.85
25,19,DONE,3.2,3B,CB,14062,111842,"111,84",44176.51890136719,1.0
22,19,DONE,3.2,1B,WiC,12666,43824,"43,82",16315.017147460974,0.9428571428571428
14,26,DONE,3.1,8B,COPA,12455,211896,"211,90",85976.10330273426,1.0
6,23,DONE,3.0,8B,BoolQ,7085,120857,"120,86",49732.756693945346,1.0
8,19,DONE,3.0,8B,COPA,11806,198892,"198,89",81119.56048085928,0.8647619047619048
23,27,DONE,3.2,1B,WSC,7583,26811,"26,81",10141.908715429689,0.8033333333333333
2,10,DONE,2.0,7B,COPA,12554,191664,"191,66",79254.91852656263,1.0
14,9,DONE,3.1,8B,COPA,12455,210895,"210,90",87001.08054082027,1.0
0,0,DONE,2.0,7B,BoolQ,13756,211904,"211,90",87805.3861341797,0.9
13,1,DONE,3.1,8B,CB,9343,160865,"160,87",66017.90995898447,1.0
19,12,DONE,3.2,1B,CB,14801,50818,"50,82",19425.182669336,0.8099999999999999
12,12,DONE,3.1,8B,BoolQ,8089,137842,"137,84",56760.07119980467,0.95
6,1,DONE,3.0,8B,BoolQ,7085,120844,"120,84",49634.62182968757,0.9492063492063492
24,25,DONE,3.2,3B,BoolQ,11507,91639,"91,64",36669.44572519528,0.9666666666666668
12,1,DONE,3.1,8B,BoolQ,8089,137869,"137,87",56182.63814160155,0.9333333333333333
14,11,DONE,3.1,8B,COPA,12455,211694,"211,69",86817.67244375017,0.96
0,9,DONE,2.0,7B,BoolQ,13756,211895,"211,90",88006.22430683595,0.9
10,25,DONE,3.0,8B,WiC,14810,250889,"250,89",102874.77491406252,0.9527777777777778
20,0,DONE,3.2,1B,COPA,11304,38816,"38,82",14834.559203906258,0.58
28,18,DONE,3.2,3B,WiC,11831,93838,"93,84",37095.66988339842,1.0
1,13,DONE,2.0,7B,CB,13678,210880,"210,88",87467.65790703129,0.9464285714285715
1,20,DONE,2.0,7B,CB,13678,210882,"210,88",87351.24137500007,0.9333333333333332
17,24,DONE,3.1,8B,WSC,7126,121645,"121,65",49680.16118105468,0.9
29,28,DONE,3.2,3B,WSC,8275,66634,"66,63",26345.08496992188,0.8011904761904762
12,16,DONE,3.1,8B,BoolQ,8089,137859,"137,86",56607.42577265624,1.0
14,22,DONE,3.1,8B,COPA,12455,210883,"210,88",87034.88862792967,0.9714285714285715
16,16,DONE,3.1,8B,WiC,14562,246694,"246,69",102303.77820996086,1.0
4,18,DONE,2.0,7B,WiC,13138,201890,"201,89",84364.10205507815,1.0
17,10,DONE,3.1,8B,WSC,7126,122842,"122,84",50084.93988320308,0.85
22,27,DONE,3.2,1B,WiC,12666,43821,"43,82",16448.770972460963,1.0
12,8,DONE,3.1,8B,BoolQ,8089,137673,"137,67",56059.07855624993,0.96
28,23,DONE,3.2,3B,WiC,11831,93636,"93,64",36933.87937285155,1.0
15,15,DONE,3.1,8B,RTE,9180,156882,"156,88",64535.800663281225,1.0
24,12,DONE,3.2,3B,BoolQ,11507,90842,"90,84",35718.04558027344,0.8933333333333333
28,27,DONE,3.2,3B,WiC,11831,92839,"92,84",36892.41770546873,0.8
23,3,DONE,3.2,1B,WSC,7583,26812,"26,81",9893.738279882811,1.0
15,4,DONE,3.1,8B,RTE,9180,156650,"156,65",63809.24309570315,1.0
16,22,DONE,3.1,8B,WiC,14562,245685,"245,69",100776.84107382815,0.9777777777777779
19,9,DONE,3.2,1B,CB,14801,50626,"50,63",19272.91375957036,0.8444444444444444
5,7,DONE,2.0,7B,WSC,11578,178666,"178,67",73822.55721777337,1.0
11,10,DONE,3.0,8B,WSC,7419,125854,"125,85",51844.328603710936,1.0
3,16,DONE,2.0,7B,RTE,12250,189873,"189,87",78548.66230136719,0.9714285714285715
0,21,DONE,2.0,7B,BoolQ,13756,211884,"211,88",87804.01953496096,0.8893181818181819
4,15,DONE,2.0,7B,WiC,13138,201887,"201,89",83638.52273828129,1.0
23,14,DONE,3.2,1B,WSC,7583,26809,"26,81",9995.338662890565,0.8533333333333333
20,15,DONE,3.2,1B,COPA,11304,38824,"38,82",14434.293846484388,0.9666666666666668
26,15,DONE,3.2,3B,COPA,11640,91836,"91,84",35717.02773261722,0.9111111111111111
